iter	RMSE
659	1.800843741
660	1.799556238
661	1.798836637
662	1.798657637
663	1.797138001
664	1.795827236
665	1.794639076
666	1.794260769
667	1.793720423
668	1.793511201
669	1.792482777
670	1.791586815
671	1.791539817
672	1.791441519
673	1.790580137
674	1.78928001
675	1.789091548
676	1.787616894
677	1.787561611
678	1.787243604
679	1.785983475
680	1.785825614
681	1.785569571
682	1.785522431
683	1.784613691
684	1.783962239
685	1.783404351
686	1.783299587
687	1.783290215
688	1.78326222
689	1.783019193
690	1.782131149
691	1.78204136
692	1.782029564
693	1.782024877
694	1.781734037
695	1.781597074
696	1.781589087
697	1.781584172
698	1.781400501
699	1.781384636
700	1.781338881
701	1.781322705
702	1.7800323
703	1.779610531
704	1.779310771
705	1.778376458
706	1.7780283
707	1.777695023
708	1.776696446
709	1.77565322
710	1.775179296
711	1.77514108
712	1.775122726
713	1.774904919
714	1.773835325
715	1.773641939
716	1.771745646
717	1.770998522
718	1.769998057
719	1.769336491
720	1.768657046
721	1.767968955
722	1.767444053
723	1.766194605
724	1.765176109
725	1.764708773
726	1.763796748
727	1.762867378
728	1.762451613
729	1.761716786
730	1.76084231
731	1.759844881
732	1.759838732
733	1.759671739
734	1.759104986
735	1.758267023
736	1.757608376
737	1.756675479
738	1.756282545
739	1.755724608
740	1.755698982
741	1.754855791
742	1.754321371
743	1.754216779
744	1.753436805
745	1.752620726
746	1.752052812
747	1.75141223
748	1.750149332
749	1.749786227
750	1.749524361
751	1.748463494
752	1.747932021
753	1.747591943
754	1.74674551
755	1.746718718
756	1.746218386
757	1.745683884
758	1.745576834
759	1.744271423
760	1.743982165
761	1.743581542
762	1.743412891
763	1.743255747
764	1.742538643
765	1.741386614
766	1.740285429
767	1.740062876
768	1.739510664
769	1.739489
770	1.738635557
771	1.737305048
772	1.736779829
773	1.736366484
774	1.736350851
775	1.735698489
776	1.735666811
777	1.734883689
778	1.733419174
779	1.732755906
780	1.732313379
781	1.731251862
782	1.730482759
783	1.730246255
784	1.729447243
785	1.729061155
786	1.729030599
787	1.728955427
788	1.728633994
789	1.728522408
790	1.726417054
791	1.726245324
792	1.725021119
793	1.724916901
794	1.723214687
795	1.722415792
796	1.721346996
797	1.721116136
798	1.720762732
799	1.720348275
800	1.719591224
801	1.718857421
802	1.717957632
803	1.717813312
804	1.716615286
805	1.714710791
806	1.714012309
807	1.713977013
808	1.71295238
809	1.712541416
810	1.71219857
811	1.711534833
812	1.711308807
813	1.71097608
814	1.710246606
815	1.70846941
816	1.708431949
817	1.707420322
818	1.707028488
819	1.706872119
820	1.705657958
821	1.705538041
822	1.705310911
823	1.704692403
824	1.703710539
825	1.702915958
826	1.702315813
827	1.701448868
828	1.699975214
829	1.699656982
830	1.699162066
831	1.698528306
832	1.697061655
833	1.695696759
834	1.695582446
835	1.694714823
836	1.693470867
837	1.693203458
838	1.693074652
839	1.692057612
840	1.691945726
841	1.691745982
842	1.691238061
843	1.690810348
844	1.689978148
845	1.689749663
846	1.68959662
847	1.689362831
848	1.689358366
849	1.689099656
850	1.688855001
851	1.687944082
852	1.687764594
853	1.686924554
854	1.686920436
855	1.685884152
856	1.684790977
857	1.684604835
858	1.684327265
859	1.683218401
860	1.68313122
861	1.682940232
862	1.682912942
863	1.682586985
864	1.680697019
865	1.680174296
866	1.679714181
867	1.679193665
868	1.678787834
869	1.678681115
870	1.677817434
871	1.677632188
872	1.677528162
873	1.677453075
874	1.676559238
875	1.676044386
876	1.675153314
877	1.6750364
878	1.674569571
879	1.674555561
880	1.67418194
881	1.673851279
882	1.673628421
883	1.672955931
884	1.672273835
885	1.672234983
886	1.671872639
887	1.671741307
888	1.670682827
889	1.670067882
890	1.669716265
891	1.669699623
892	1.668970988
893	1.668792485
894	1.668745788
895	1.6681104
896	1.667859038
897	1.667766586
898	1.667385986
899	1.667185603
900	1.666537815
901	1.665598971
902	1.665575745
903	1.665027572
904	1.664959004
905	1.664772074
906	1.663944865
907	1.66372254
908	1.663150064
909	1.663125184
910	1.662459005
911	1.662450633
912	1.662067142
913	1.661978496
914	1.661718036
915	1.661036372
916	1.660473745
917	1.659287139
918	1.658601696
919	1.658067302
920	1.657430391
921	1.657335608
922	1.656582974
923	1.656482888
924	1.656378541
925	1.655615723
926	1.655493054
927	1.655143032
928	1.654920423
929	1.654306642
930	1.653782932
931	1.652629887
932	1.652275854
933	1.652125343
934	1.652010445
935	1.650647515
936	1.649948481
937	1.649754216
938	1.649355481
939	1.648763772
940	1.647676095
941	1.647279139
942	1.646403046
943	1.645593286
944	1.644993603
945	1.64438722
946	1.64354428
947	1.642300725
948	1.641682494
949	1.640493241
950	1.640455986
951	1.64003598
952	1.639917261
953	1.639733705
954	1.639165853
955	1.638054071
956	1.637434503
957	1.637137724
958	1.637009208
959	1.636640569
960	1.63644916
961	1.635808027
962	1.635278663
963	1.634939595
964	1.634827079
965	1.634769448
966	1.634337153
967	1.634058137
968	1.633949275
969	1.633798677
970	1.633632998
971	1.633468322
972	1.633325871
973	1.632733498
974	1.631534503
975	1.630630471
976	1.630227747
977	1.629551516
978	1.629391212
979	1.629345976
980	1.628319942
981	1.627646067
982	1.627257335
983	1.626670872
984	1.62602785
985	1.625184453
986	1.625024923
987	1.62430557
988	1.624270905
989	1.623241456
990	1.622800774
991	1.622285785
992	1.621354604
993	1.621246803
994	1.62028427
995	1.620005724
996	1.619327393
997	1.618809967
998	1.618636731
999	1.618268143
